ticker,year,actual_esg,predicted_esg,discrepancy,risk_score,risk_level
TXT,2019,37.85,34.43692,-3.4130798339843764,0.4460366045136469,Normal
CVX,2021,40.51,35.54906,-4.960939178466795,0.3943830687812152,Normal
AIG,2021,29.29,24.895575,-4.394425430297851,0.413288170357963,Normal
RMD,2021,27.17,26.705847,-0.46415321350097827,0.5444450853012811,Normal
EFX,2022,25.73,24.994484,-0.7355160522460942,0.5353894497633751,Normal
WYNN,2022,26.47,22.099108,-4.3708922576904286,0.41407349466828103,Normal
GPC,2023,13.14,21.440517,8.300517425537109,0.8369304649647245,High Risk
ANSS,2019,15.93,19.756992,3.826992340087891,0.6876446860760437,Normal
AMZN,2021,28.09,23.95682,-4.133180465698242,0.4220061628305775,Normal
HST,2021,14.37,17.389383,3.01938331604004,0.6606940062677055,Normal
AFL,2021,23.27,20.182346,-3.087653656005859,0.45689638500494395,Normal
AJG,2018,23.46,26.475687,3.015687026977538,0.6605706575927448,Normal
UHS,2022,31.57,30.683294,-0.8867057037353518,0.5303441075664809,Normal
CSX,2020,22.5,23.087847,0.5878467559814453,0.579551322962913,Normal
HBAN,2022,20.28,25.807673,5.52767250061035,0.7443979975149193,Normal
EQR,2022,11.05,17.969482,6.919482421874999,0.790844015854419,High Risk
APD,2021,11.17,16.607246,5.437246398925781,0.7413803926587944,Normal
FITB,2021,24.46,24.890318,0.43031791687011633,0.5742944360571803,Normal
CSCO,2021,12.35,19.510841,7.160841369628907,0.7988983930667861,Normal
CSX,2021,18.41,20.265152,1.8551519775390624,0.6218425012789328,Normal
APD,2020,11.64,20.079859,8.439858779907226,0.8415804182389794,High Risk
MGM,2019,26.29,24.8186,-1.4714002990722648,0.5108322938603758,Normal
CTSH,2020,20.42,18.937595,-1.482404632568361,0.5104650688050253,Normal
CPT,2019,19.9,20.145527,0.24552688598632955,0.5681277839315763,Normal
MPC,2019,38.11,26.674877,-11.435122833251953,0.17833341417736387,High Risk
CPB,2021,22.0,23.255596,1.2555961608886719,0.6018347545096074,Normal
ADP,2017,16.34,18.871449,2.5314485168457033,0.644411158814464,Normal
GPN,2022,19.18,19.041513,-0.13848655700683565,0.5553128907889346,Normal
SYY,2022,12.13,25.31709,13.187089080810546,1.0,High Risk
BMY,2021,22.73,24.085903,1.355903167724609,0.6051820945507311,Normal
VZ,2023,18.73,20.508762,1.7787623596191402,0.6192933072110876,Normal
ADM,2021,34.25,22.715546,-11.534454345703125,0.1750186273099119,High Risk
CHRW,2020,25.89,25.382084,-0.5079161071777349,0.5429846759944892,Normal
COP,2020,30.0,31.82026,1.8202590942382812,0.6206780926388267,Normal
PHM,2018,21.29,24.634666,3.3446664428710946,0.671549013006411,Normal
SBUX,2019,21.23,23.571918,2.3419184875488277,0.6380863618130099,Normal
EQIX,2019,15.5,17.880672,2.3806724548339844,0.6393796184910622,Normal
ITW,2021,19.56,22.663803,3.103803100585939,0.6635111746190222,Normal
WFC,2021,31.53,24.920343,-6.60965660095215,0.33936380323967674,Normal
PNW,2022,27.7,25.355213,-2.344786834716796,0.48168655604643706,Normal
EQR,2019,16.0,15.623289,-0.3767108917236328,0.547363118589353,Normal
KMX,2019,13.45,22.029905,8.579905319213868,0.8462539042040094,High Risk
CTSH,2022,16.35,19.1414,2.7913993835449205,0.653085966011635,Normal
AAPL,2023,17.22,23.081438,5.8614380645751964,0.7555360712332895,Normal
MMC,2020,18.93,20.728245,1.798244781494141,0.6199434541240237,Normal
BAX,2021,27.7,24.36739,-3.332610321044921,0.44872194855140213,Normal
ETN,2021,17.12,19.484457,2.36445701599121,0.6388384939033094,Normal
BDX,2021,29.3,23.285137,-6.014862823486329,0.35921263624073485,Normal
HOLX,2021,30.51,31.84064,1.3306391143798812,0.6043390091070571,Normal
DUK,2019,33.99,30.055597,-3.9344026947021504,0.42863956575156004,Normal
ABT,2021,29.1,23.923761,-5.17623863220215,0.387198321622932,Normal
AMZN,2019,33.69,26.055399,-7.634601058959959,0.3051604336801724,High Risk
CFG,2019,29.1,24.855848,-4.244151687622072,0.41830294780826494,Normal
